Location,Male,Female,Adults_with_Children,Adults_with_No_Children,White,Black,Hispanic,Asian,American_Indian_or_Alaska_Native,Native_Hawaiian_or_Other_Pacific_Islander,Two_Or_More_Races,Age0_18,Age_19_25,Age_26_34,Age_35_54,Age_55_64,Age_65_plus
Alabama,2284900,2456500,878300,1941300,3119100,1259900,195700,63800,19800,N/A,81800,1138300,430500,536200,1207200,645600,783600
Alaska,364500,345600,153600,283800,433000,18000,47400,46600,95500,6300,63300,192300,63500,97900,183600,92400,80500
Arizona,3363200,3478100,1322700,2646700,3761600,270200,2143400,220300,261300,12500,172000,1686200,637200,815200,1677000,839900,1185700
Arkansas,1422700,1487200,602000,1096800,2109200,434100,220300,48100,13500,7300,77500,730600,265200,329800,726600,377100,480600
California,19113000,19600800,7955200,15981800,14305700,2061600,15194400,5598000,138100,122900,1293200,9363800,3697900,5240600,10277900,4720500,5413200
Colorado,2723500,2737600,1134700,2264900,3727100,204600,1179000,171300,30300,6400,142200,1299900,492600,757900,1451700,697400,761700
Connecticut,1692100,1786600,694500,1434700,2320900,336800,566200,155300,6700,N/A,92600,771100,297600,394900,927200,509500,578400
Delaware,448000,483700,167900,385600,583100,197900,85900,37300,N/A,N/A,24900,208200,78500,110500,231500,132900,170100
District of Columbia,309400,348200,87200,363300,236500,301800,72500,26900,1500,N/A,18100,125500,64200,141500,176600,68200,81600
Florida,9960700,10571600,3604800,8419000,11058700,3097400,5292800,571900,38400,10300,462800,4362200,1698300,2330300,5217900,2777200,4146300
Georgia,4870800,5250700,2101100,4035400,5349500,3130400,974200,400800,18100,N/A,241600,2612200,908000,1216400,2754900,1257200,1372700
Hawaii,662300,693800,245300,548700,280000,14100,137900,517600,1300,130200,275100,312600,100400,169700,341900,182000,249600
Idaho,842300,839800,360600,602100,1381400,9500,207700,22300,17500,N/A,42100,459700,150200,190100,410500,212000,259700
Illinois,6104600,6392000,2595300,5015600,7664800,1706000,2171200,679300,10400,N/A,259900,3007500,1114500,1554000,3288200,1654300,1878200
Indiana,3164400,3295100,1330000,2527700,5127000,585200,448700,136100,9600,N/A,151700,1613200,593900,753400,1651400,859000,988500
Iowa,1501500,1544100,656800,1134500,2616900,92800,180800,81000,7900,N/A,61500,754600,273500,348700,753800,415400,499600
Kansas,1395900,1421600,612800,1040100,2145200,148500,335400,84300,16900,N/A,83400,733800,263400,330000,687500,371900,430900
Kentucky,2113500,2193600,898100,1681900,3655800,339300,148500,62400,5500,N/A,92600,1042300,377400,492700,1119700,590100,684800
Louisiana,2190000,2351600,881300,1829100,2669900,1444600,234300,82400,21400,N/A,88200,1156100,424700,551400,1139300,594900,675100
Maine,636100,664100,238600,541400,1218000,14600,20600,14100,8500,N/A,24400,261400,92500,143000,335100,209400,258800
Maryland,2838600,3054300,1204700,2424500,2988800,1720600,600300,384600,11500,2500,184600,1387600,500100,723100,1598700,807300,876000
Massachusetts,3214300,3406200,1316200,2803200,4746900,459100,785300,424700,9100,N/A,194800,1429000,568000,863800,1765200,922400,1072200
Michigan,4758100,4962300,1938200,3926300,7322500,1313800,489200,299700,42800,N/A,249300,2231400,896700,1111900,2462600,1393300,1624500
Minnesota,2701100,2745500,1142100,2150700,4358900,346100,285400,262800,49500,N/A,140300,1326200,463800,677000,1407900,744000,827600
Mississippi,1385300,1499200,577000,1109500,1642100,1087600,79500,26800,11800,N/A,35300,746700,273400,303900,731900,377300,451200
Missouri,2887400,3033900,1214900,2308800,4716400,657900,247400,119900,21800,9100,148800,1424200,510800,720200,1479400,813300,973400
Montana,507100,515400,187500,420200,884600,4300,36300,6900,60100,N/A,29700,230300,95000,115500,246100,151200,184600
Nebraska,926100,933200,413300,681000,1472600,80600,203900,47000,11800,N/A,41700,482900,167300,229600,453800,243500,282100
Nevada,1464500,1482100,580700,1206800,1441400,257000,851600,248600,26900,18500,102600,703900,257000,374200,788600,367700,455300
New Hampshire,643200,653700,256200,549800,1175300,17200,47000,35400,1100,N/A,20800,264100,104700,147400,345600,208300,226900
New Jersey,4291100,4532700,1912300,3475700,4851700,1101200,1812000,865000,9100,N/A,183400,2059500,734100,1026100,2420300,1207500,1376400
New Mexico,1004700,1033400,375500,810000,760000,32800,998200,25800,183800,N/A,36500,508700,191500,236800,481700,275600,343900
New York,9346600,9969100,3641200,8341200,10652400,2735300,3722400,1684600,41600,4700,474700,4260400,1761000,2551200,5096700,2573500,3072900
North Carolina,4789900,5158900,2054300,3912600,6279300,2087600,935400,279600,106100,6200,254600,2394200,847500,1158700,2658600,1301900,1587700
North Dakota,370400,355600,160800,282400,614500,21100,24500,12200,40400,N/A,12400,177000,75100,98500,171900,97600,105700
Ohio,5517500,5806100,2269700,4510700,8964000,1356900,420200,249700,17200,4200,311300,2677900,987700,1331700,2860600,1600400,1865100
Oklahoma,1860500,1943200,789600,1438000,2507400,262800,400200,78400,281500,5.30E+03,268100,995000,342600,463900,934700,486500,581000
Oregon,2007100,2055900,799000,1665000,3079800,70500,529600,181500,35300,10300,155900,903000,343700,524300,1051600,544500,696000
Pennsylvania,6049400,6339700,2401800,5042500,9498700,1294800,906500,424000,12100,N/A,249900,2746700,1028600,1466600,3152500,1796600,2198200
Rhode Island,493000,522900,201300,429800,733300,54900,157900,35700,2800,N/A,30000,214900,94600,126200,263400,146900,169900
South Carolina,2335100,2529500,919300,1961800,3111700,1297600,270000,73500,12600,N/A,95700,1134400,418700,554800,1246100,661400,849200
South Dakota,419800,417200,182400,304800,690400,17400,29800,10800,70200,N/A,18000,214000,72000,104100,196700,114400,135800
Tennessee,3164800,3373400,1307000,2627400,4847000,1074900,351400,116100,13400,N/A,133900,1561400,560900,791900,1706900,874700,1042400
Texas,13597400,14023800,6142900,10455200,11559700,3196500,10951000,1317300,69700,18400,508600,7659600,2612700,3587100,7243100,3155200,3363600
Utah,1529300,1518100,734000,1023200,2392300,33000,425000,74200,27000,26600,69300,960500,325400,398900,736000,296800,329800
Vermont,295800,304400,113000,253100,559000,7000,10400,10300,N/A,N/A,12000,119800,52500,65500,151900,96300,114300
Virginia,3937000,4203700,1667100,3302200,5039200,1507600,758500,533400,18100,3200,280700,1925700,717900,9.83E+05,2188700,1079500,1245700
Washington,3589700,3650100,1522400,2920700,4976100,246900,916000,617900,68600,42200,372200,1701700,628700,965900,1899400,949100,1095000
West Virginia,863400,898700,322100,714100,1631600,64300,20400,14200,2000,N/A,28800,385000,148600,178300,448700,260600,340900
Wisconsin,2792400,2850600,1161900,2230900,4600500,328100,382000,166800,43500,N/A,120600,1319600,495600,643300,1441400,812500,930500
Wyoming,286600,276700,118200,214300,474400,5300,56100,4200,12100,N/A,11200,142400,48500,69400,133100,81500,88300
Puerto Rico,1570300,1734500,543200,1406500,23000,N/A,3274500,N/A,N/A,N/A,N/A,701800,327600,344300,849600,428200,653200
